Zamìstnanci a prùmìrné mzdy podle odvìtví (CZ-NACE)									
									
								Období	2007
								Území	Èeská republika
									
		Prùmìrnı evidenèní poèet zamìstnancù (pøepoètenı)		Prùmìrná hrubá mìsíèní mzda (na pøepoètené poèty zamìstnancù)		Prùmìrnı evidenèní poèet zamìstnancù (fyzickı)		Prùmìrná hrubá mìsíèní mzda (na fyzické osoby)	
		v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)	v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)
Odvìtví celkem		4 015,3	101,6	20 927	107,6	4 132,5	101,6	20 333	107,6
z toho	A - Zemìdìlství, lesnictví, rybáøství	128,7	94,0	16 189	109,4	132,0	93,6	15 782	109,8
	B - Tìba a dobıvání	42,9	96,8	25 715	107,2	43,0	96,8	25 657	107,1
	C - Zpracovatelskı prùmysl	1 225,1	102,4	19 961	107,7	1 234,9	102,4	19 802	107,7
	D - Vıroba a rozvod elektøiny, plynu, tepla a klimatizovaného vzduchu	34,2	95,8	31 501	107,3	34,7	95,3	31 059	107,8
	"E - Zásobování vodou; èinnosti související s odpadními vodami, odpady a sanacemi"	52,9	100,4	19 913	107,2	54,0	100,2	19 504	107,3
	F - Stavebnictví	264,6	100,8	19 193	107,9	266,7	100,6	19 041	108,0
	"G - Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel"	492,8	102,6	19 649	109,2	507,1	102,5	19 097	109,3
	H - Doprava a skladování	272,8	101,0	20 582	107,5	275,8	100,9	20 362	107,6
	I - Ubytování, stravování a pohostinství	117,6	99,8	11 842	103,8	121,8	99,0	11 434	104,7
	J - Informaèní a komunikaèní èinnosti	88,3	105,5	38 817	107,2	90,0	105,5	38 055	107,1
	K - Penìnictví a pojišovnictví	67,5	102,1	41 509	107,3	70,2	104,5	39 928	105,0
	L - Èinnosti v oblasti nemovitostí	41,0	97,9	20 205	112,2	44,1	98,0	18 797	112,1
	M - Profesní, vìdecké a technické èinnosti	138,2	107,1	26 799	108,3	144,9	106,5	25 560	108,9
	N - Administrativní a podpùrné èinnosti	146,5	109,7	14 126	106,1	156,9	110,3	13 194	105,6
	"O - Veøejná správa a obrana; povinné sociální zabezpeèení"	291,5	99,0	25 042	107,5	296,8	98,9	24 595	107,6
	P - Vzdìlávání	268,9	100,8	21 225	106,1	295,6	100,7	19 310	106,2
	Q - Zdravotní a sociální péèe	253,3	100,6	20 126	105,8	267,6	100,6	19 047	105,8
	R - Kulturní, zábavní a rekreaèní èinnosti	49,7	99,0	17 922	106,0	53,9	99,3	16 541	105,9
	S - Ostatní èinnosti	38,8	102,4	17 044	109,3	42,6	102,2	15 495	109,1
