Zamìstnanci a prùmìrné mzdy podle odvìtví (CZ-NACE)									
									
								Období	2008
								Území	Èeská republika
									
		Prùmìrnı evidenèní poèet zamìstnancù (pøepoètenı)		Prùmìrná hrubá mìsíèní mzda (na pøepoètené poèty zamìstnancù)		Prùmìrnı evidenèní poèet zamìstnancù (fyzickı)		Prùmìrná hrubá mìsíèní mzda (na fyzické osoby)	
		v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)	v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)
Odvìtví celkem		4 039,0	100,6	22 653	108,2	4 172,0	101,0	21 931	107,9
z toho	A - Zemìdìlství, lesnictví, rybáøství	119,3	92,7	17 909	110,6	122,2	92,6	17 477	110,7
	B - Tìba a dobıvání	41,6	97,0	29 300	113,9	41,7	97,0	29 214	113,9
	C - Zpracovatelskı prùmysl	1 222,8	99,8	21 631	108,4	1 236,7	100,1	21 389	108,0
	D - Vıroba a rozvod elektøiny, plynu, tepla a klimatizovaného vzduchu	31,3	91,5	35 116	111,5	31,7	91,4	34 699	111,7
	"E - Zásobování vodou; èinnosti související s odpadními vodami, odpady a sanacemi"	53,6	101,3	21 299	107,0	54,7	101,3	20 851	106,9
	F - Stavebnictví	267,9	101,2	21 143	110,2	271,7	101,9	20 847	109,5
	"G - Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel"	503,7	102,2	21 455	109,2	522,4	103,0	20 690	108,3
	H - Doprava a skladování	270,1	99,0	22 601	109,8	274,7	99,6	22 222	109,1
	I - Ubytování, stravování a pohostinství	118,8	101,0	12 498	105,5	124,2	102,0	11 958	104,6
	J - Informaèní a komunikaèní èinnosti	94,7	107,2	41 870	107,9	96,5	107,2	41 064	107,9
	K - Penìnictví a pojišovnictví	70,6	104,6	44 629	107,5	72,5	103,3	43 480	108,9
	L - Èinnosti v oblasti nemovitostí	47,6	116,1	19 828	98,1	50,1	113,6	18 821	100,1
	M - Profesní, vìdecké a technické èinnosti	145,5	105,3	30 364	113,3	153,6	106,0	28 751	112,5
	N - Administrativní a podpùrné èinnosti	149,9	102,3	15 679	111,0	160,7	102,4	14 622	110,8
	"O - Veøejná správa a obrana; povinné sociální zabezpeèení"	285,8	98,0	26 367	105,3	291,0	98,0	25 892	105,3
	P - Vzdìlávání	266,4	99,1	22 233	104,7	295,6	100,0	20 043	103,8
	Q - Zdravotní a sociální péèe	256,8	101,4	21 177	105,2	271,9	101,6	19 999	105,0
	R - Kulturní, zábavní a rekreaèní èinnosti	50,4	101,4	18 746	104,6	54,0	100,2	17 505	105,8
	S - Ostatní èinnosti	42,2	108,8	17 093	100,3	46,0	108,0	15 666	101,1
