Zamìstnanci a prùmìrné mzdy podle odvìtví (CZ-NACE)									
									
								Období	2010
								Území	Èeská republika
									
		Prùmìrnı evidenèní poèet zamìstnancù (pøepoètenı)		Prùmìrná hrubá mìsíèní mzda (na pøepoètené poèty zamìstnancù)		Prùmìrnı evidenèní poèet zamìstnancù (fyzickı)		Prùmìrná hrubá mìsíèní mzda (na fyzické osoby)	
		v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)	v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)
Odvìtví celkem		3 792,3	99,1	23 903	102,0	3 920,2	99,1	23 123	102,0
z toho	A - Zemìdìlství, lesnictví, rybáøství	105,4	95,8	18 092	101,8	107,8	95,5	17 693	102,1
	B - Tìba a dobıvání	36,0	95,5	30 348	106,7	36,1	95,5	30 256	106,8
	C - Zpracovatelskı prùmysl	1 043,5	97,7	22 998	104,0	1 058,2	97,7	22 680	104,0
	D - Vıroba a rozvod elektøiny, plynu, tepla a klimatizovaného vzduchu	29,2	93,0	39 705	102,8	29,6	93,1	39 146	102,6
	"E - Zásobování vodou; èinnosti související s odpadními vodami, odpady a sanacemi"	49,6	97,5	23 031	104,3	50,6	97,6	22 583	104,2
	F - Stavebnictví	255,7	97,2	22 379	100,3	259,5	97,5	22 048	99,9
	"G - Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel"	489,9	100,5	22 076	102,6	509,5	100,5	21 227	102,5
	H - Doprava a skladování	251,8	97,4	23 005	100,0	255,6	97,4	22 667	100,0
	I - Ubytování, stravování a pohostinství	113,5	94,8	13 258	107,2	118,8	94,6	12 669	107,4
	J - Informaèní a komunikaèní èinnosti	95,2	100,5	43 513	100,1	97,5	100,8	42 500	99,8
	K - Penìnictví a pojišovnictví	70,3	99,8	45 638	99,5	72,0	99,6	44 557	99,7
	L - Èinnosti v oblasti nemovitostí	42,8	92,7	21 089	102,1	45,1	94,4	19 988	100,3
	M - Profesní, vìdecké a technické èinnosti	148,8	102,0	31 928	100,1	156,4	102,0	30 371	100,2
	N - Administrativní a podpùrné èinnosti	140,4	105,6	16 225	101,7	147,4	104,8	15 457	102,4
	"O - Veøejná správa a obrana; povinné sociální zabezpeèení"	290,6	99,9	27 077	101,0	295,4	99,8	26 637	101,0
	P - Vzdìlávání	266,6	99,4	23 349	99,3	295,1	99,8	21 100	98,9
	Q - Zdravotní a sociální péèe	268,2	103,7	23 557	102,8	284,2	103,2	22 235	103,2
	R - Kulturní, zábavní a rekreaèní èinnosti	49,0	98,9	19 916	100,7	51,7	97,6	18 903	102,1
	S - Ostatní èinnosti	45,6	108,9	18 418	98,9	49,8	107,5	16 856	100,3
