Zamìstnanci a prùmìrné mzdy podle odvìtví (CZ-NACE)									
									
								Období	2012
								Území	Èeská republika
									
		Prùmìrnı evidenèní poèet zamìstnancù (pøepoètenı)		Prùmìrná hrubá mìsíèní mzda (na pøepoètené poèty zamìstnancù)		Prùmìrnı evidenèní poèet zamìstnancù (fyzickı)		Prùmìrná hrubá mìsíèní mzda (na fyzické osoby)	
		v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)	v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)
Odvìtví celkem		3 787,0	100,1	25 100	102,6	3 920,4	100,1	24 245	102,6
z toho	A - Zemìdìlství, lesnictví, rybáøství	101,8	98,3	19 436	104,4	103,4	98,1	19 143	104,5
	B - Tìba a dobıvání	33,6	98,6	32 498	102,9	33,6	98,4	32 444	103,2
	C - Zpracovatelskı prùmysl	1 063,6	99,9	24 572	103,3	1 075,4	99,8	24 302	103,3
	D - Vıroba a rozvod elektøiny, plynu, tepla a klimatizovaného vzduchu	29,9	100,7	42 487	105,7	30,3	101,1	41 915	105,3
	"E - Zásobování vodou; èinnosti související s odpadními vodami, odpady a sanacemi"	50,8	100,7	23 731	102,1	51,8	100,9	23 283	101,9
	F - Stavebnictví	233,4	97,3	22 902	100,3	236,3	97,3	22 619	100,3
	"G - Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel"	488,6	100,6	23 304	101,6	508,5	100,3	22 394	101,8
	H - Doprava a skladování	246,8	99,1	23 348	101,4	250,1	99,1	23 035	101,4
	I - Ubytování, stravování a pohostinství	115,6	101,5	13 313	99,7	120,7	100,2	12 755	101,0
	J - Informaèní a komunikaèní èinnosti	96,4	101,6	46 871	102,4	98,4	101,2	45 919	102,8
	K - Penìnictví a pojišovnictví	72,5	102,7	50 425	106,4	74,3	102,8	49 197	106,3
	L - Èinnosti v oblasti nemovitostí	46,9	113,1	21 145	95,7	49,4	112,6	20 074	96,1
	M - Profesní, vìdecké a technické èinnosti	151,4	102,9	32 857	101,3	159,7	102,3	31 154	101,9
	N - Administrativní a podpùrné èinnosti	151,1	102,1	17 049	102,9	162,0	102,4	15 904	102,6
	"O - Veøejná správa a obrana; povinné sociální zabezpeèení"	274,5	98,3	26 839	102,2	278,3	98,2	26 475	102,3
	P - Vzdìlávání	268,1	98,8	24 579	104,6	301,8	100,7	21 833	102,5
	Q - Zdravotní a sociální péèe	269,8	101,0	25 251	101,7	286,7	100,7	23 760	102,0
	R - Kulturní, zábavní a rekreaèní èinnosti	50,1	102,0	20 555	103,9	53,2	101,1	19 344	104,8
	S - Ostatní èinnosti	42,4	96,6	19 592	101,4	46,8	96,7	17 740	101,3
