Zamìstnanci a prùmìrné mzdy podle odvìtví (CZ-NACE)									
									
								Období	2005
								Území	Èeská republika
									
		Prùmìrnı evidenèní poèet zamìstnancù (pøepoètenı)		Prùmìrná hrubá mìsíèní mzda (na pøepoètené poèty zamìstnancù)		Prùmìrnı evidenèní poèet zamìstnancù (fyzickı)		Prùmìrná hrubá mìsíèní mzda (na fyzické osoby)	
		v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)	v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)
Odvìtví celkem		3 915,2	.	18 283	.	4 030,2	.	17 761	.
z toho	A - Zemìdìlství, lesnictví, rybáøství	140,5	.	13 950	.	144,3	.	13 580	.
	B - Tìba a dobıvání	46,3	.	22 419	.	46,4	.	22 355	.
	C - Zpracovatelskı prùmysl	1 183,9	.	17 359	.	1 194,8	.	17 200	.
	D - Vıroba a rozvod elektøiny, plynu, tepla a klimatizovaného vzduchu	39,2	.	26 744	.	39,8	.	26 350	.
	"E - Zásobování vodou; èinnosti související s odpadními vodami, odpady a sanacemi"	53,0	.	17 362	.	54,3	.	16 977	.
	F - Stavebnictví	261,2	.	16 660	.	263,1	.	16 537	.
	"G - Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel"	472,0	.	16 972	.	487,9	.	16 421	.
	H - Doprava a skladování	270,1	.	18 190	.	273,3	.	17 979	.
	I - Ubytování, stravování a pohostinství	121,4	.	10 475	.	124,9	.	10 182	.
	J - Informaèní a komunikaèní èinnosti	80,1	.	33 902	.	81,3	.	33 390	.
	K - Penìnictví a pojišovnictví	65,5	.	36 258	.	66,5	.	35 707	.
	L - Èinnosti v oblasti nemovitostí	41,3	.	17 217	.	44,2	.	16 087	.
	M - Profesní, vìdecké a technické èinnosti	124,6	.	23 727	.	130,9	.	22 594	.
	N - Administrativní a podpùrné èinnosti	119,5	.	12 547	.	128,9	.	11 633	.
	"O - Veøejná správa a obrana; povinné sociální zabezpeèení"	293,0	.	22 246	.	298,5	.	21 835	.
	P - Vzdìlávání	266,0	.	18 762	.	292,1	.	17 085	.
	Q - Zdravotní a sociální péèe	252,4	.	17 560	.	266,4	.	16 640	.
	R - Kulturní, zábavní a rekreaèní èinnosti	49,8	.	16 084	.	54,3	.	14 741	.
	S - Ostatní èinnosti	35,4	.	14 654	.	38,4	.	13 499	.
