Zamìstnanci a prùmìrné mzdy podle odvìtví (CZ-NACE)									
									
								Období	2009
								Území	Èeská republika
									
		Prùmìrnı evidenèní poèet zamìstnancù (pøepoètenı)		Prùmìrná hrubá mìsíèní mzda (na pøepoètené poèty zamìstnancù)		Prùmìrnı evidenèní poèet zamìstnancù (fyzickı)		Prùmìrná hrubá mìsíèní mzda (na fyzické osoby)	
		v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)	v tis.osob	Meziroèní index (%)	v Kè	Meziroèní index (%)
Odvìtví celkem		3 826,5	94,7	23 425	103,4	3 955,2	94,8	22 663	103,3
z toho	A - Zemìdìlství, lesnictví, rybáøství	110,1	92,3	17 766	99,2	112,9	92,4	17 321	99,1
	B - Tìba a dobıvání	37,6	90,4	28 430	97,0	37,8	90,6	28 341	97,0
	C - Zpracovatelskı prùmysl	1 068,1	87,3	22 104	102,2	1 082,9	87,6	21 801	101,9
	D - Vıroba a rozvod elektøiny, plynu, tepla a klimatizovaného vzduchu	31,4	100,3	38 632	110,0	31,8	100,3	38 141	109,9
	"E - Zásobování vodou; èinnosti související s odpadními vodami, odpady a sanacemi"	50,9	95,0	22 084	103,7	51,9	94,9	21 679	104,0
	F - Stavebnictví	263,2	98,2	22 318	105,6	266,1	97,9	22 069	105,9
	"G - Velkoobchod a maloobchod; opravy a údrba motorovıch vozidel"	487,6	96,8	21 526	100,3	506,9	97,0	20 705	100,1
	H - Doprava a skladování	258,4	95,7	22 994	101,7	262,3	95,5	22 656	102,0
	I - Ubytování, stravování a pohostinství	119,7	100,8	12 366	98,9	125,5	101,0	11 791	98,6
	J - Informaèní a komunikaèní èinnosti	94,7	100,0	43 487	103,9	96,7	100,2	42 579	103,7
	K - Penìnictví a pojišovnictví	70,4	99,7	45 861	102,8	72,2	99,6	44 698	102,8
	L - Èinnosti v oblasti nemovitostí	46,1	96,8	20 658	104,2	47,8	95,4	19 934	105,9
	M - Profesní, vìdecké a technické èinnosti	145,8	100,2	31 881	105,0	153,4	99,9	30 311	105,4
	N - Administrativní a podpùrné èinnosti	133,0	88,7	15 957	101,8	140,6	87,5	15 089	103,2
	"O - Veøejná správa a obrana; povinné sociální zabezpeèení"	291,0	101,8	26 818	101,7	295,9	101,7	26 368	101,8
	P - Vzdìlávání	268,3	100,7	23 508	105,7	295,8	100,1	21 325	106,4
	Q - Zdravotní a sociální péèe	258,6	100,7	22 921	108,2	275,2	101,2	21 537	107,7
	R - Kulturní, zábavní a rekreaèní èinnosti	49,6	98,4	19 771	105,5	52,9	98,0	18 518	105,8
	S - Ostatní èinnosti	41,8	99,1	18 615	108,9	46,3	100,7	16 811	107,3
