currency,worktime,sex,isco88,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FT,F,ISCO1-5,SE	31928.7 	31665.7 	30418.0 	29403.1 	28965.0 	30518.5 	29327.8 	28415.4 	29575.9 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO1-5,SK	: 	7609.3 	6264.6 	5562.2 	4965.6 	4231.4 	3856.7 	3356.9 	3215.1 	2813.7 	3077.1 	3230.3 	: 	: 
EUR,FT,F,ISCO1-5,UK	: 	36441.4 	35958.5 	: 	33311.2 	31121.8 	32501.6 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO2,AT	49312.0 	47822.4 	45357.0 	42658.0 	41210.0 	37163.0 	36880.0 	35164.6 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO2,CY	37440.0 	34354.2 	34034.1 	31724.7 	29883.8 	29174.0 	27429.4 	25713.3 	24798.1 	23799.6 	22681.0 	21262.2 	: 	: 
EUR,FT,F,ISCO2,DE	48800.0 	47600.0 	46692.0 	46300.0 	46000.0 	45500.0 	44600.0 	43900.0 	43100.0 	42400.0 	41517.7 	41120.2 	41481.8 	: 
EUR,FT,F,ISCO2,DK	57289.6 	55360.5 	58592.2 	57640.6 	55149.9 	53986.6 	51796.6 	49568.7 	48671.4 	46142.0 	44488.2 	43296.1 	42710.2 	: 
EUR,FT,F,ISCO2,EL	: 	: 	: 	: 	: 	21313.5 	20633.3 	19317.5 	18198.2 	17055.4 	16009.4 	15152.6 	14241.9 	13421.3 
EUR,FT,F,ISCO2,ES	: 	28818.2 	28322.3 	28159.5 	25670.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO2,FI	42069.0 	39795.0 	46401.0 	37402.0 	35488.0 	34459.0 	33516.0 	32017.3 	28544.7 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO2,IE	: 	50591.0 	: 	50523.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO2,IS	45651.1 	70443.9 	61440.3 	65908.2 	49722.8 	48400.9 	44195.0 	46796.8 	50716.8 	41879.0 	: 	: 	: 	: 
EUR,FT,F,ISCO2,MT	: 	: 	: 	: 	: 	16787.7 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO2,PL	: 	: 	: 	: 	7587.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO2,PT	31271 	30562.8 	29633.6 	26618.2 	26428.7 	26165.7 	26094.5 	21781.0 	20820.1 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO2,RO	9571.2 	8152.8 	5993.5 	4894.9 	3658.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO2,SE	37104.5 	37020.4 	35776.8 	34731.0 	34285.4 	38004.9 	36705.6 	36229.1 	37825.0 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO2,SK	: 	9235.1 	7594.1 	6869.9 	6094.4 	5181.4 	4458.8 	4138.6 	4241.8 	3571.1 	3822.8 	5183.0 	: 	: 
EUR,FT,F,ISCO2,UK	: 	48620.9 	47624.4 	: 	44545.1 	42704.4 	45085.3 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO3,AT	34270.0 	33542.7 	32002.0 	31393.0 	29457.0 	28962.0 	28607.0 	27517.4 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO3,CY	26088.0 	23870.8 	23112.9 	22092.7 	21180.9 	20544.6 	19837.1 	18482.3 	17918.6 	17020.1 	16922.6 	15885.1 	: 	: 
EUR,FT,F,ISCO3,DE	35000.0 	34200.0 	33477.0 	33200.0 	33000.0 	32500.0 	32000.0 	31200.0 	30600.0 	30000.0 	29201.4 	28575.1 	28986.0 	: 
EUR,FT,F,ISCO3,DK	47232.0 	44917.5 	44972.2 	44143.6 	43110.8 	41828.2 	40430.3 	38814.4 	37797.2 	36655.8 	34376.8 	33374.1 	33424.9 	: 
EUR,FT,F,ISCO3,EL	: 	: 	: 	: 	: 	16147.3 	15801.7 	15054.2 	14395.5 	13694.7 	13048.5 	12536.1 	12140.2 	11612.9 
EUR,FT,F,ISCO3,ES	: 	23980.3 	23174.4 	24362.1 	22017.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO3,FI	33451.0 	31379.0 	38019.0 	29499.0 	28361.0 	27363.0 	26676.0 	25349.6 	23384.3 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO3,IE	: 	39317.0 	: 	38800.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO3,IS	32190.8 	49777.5 	46023.2 	47130.3 	38245.5 	36156.1 	33732.0 	32368.8 	35897.0 	30845.9 	: 	: 	: 	: 
EUR,FT,F,ISCO3,MT	: 	: 	: 	: 	: 	14035.4 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO3,PL	: 	: 	: 	: 	5582.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO3,PT	20406 	19654.3 	18709.5 	19315.6 	19123.3 	18883.3 	19624.6 	17257.0 	16089.4 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO3,RO	6219.5 	5299.7 	4016.1 	3277.6 	2449.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO3,SE	31607.0 	31744.4 	30325.8 	29174.5 	28731.2 	30713.5 	29678.1 	28543.0 	29937.5 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO3,SK	: 	7484.5 	6038.6 	5519.6 	4968.3 	4273.6 	3893.0 	3221.3 	3024.6 	2655.4 	3128.8 	2890.5 	: 	: 
EUR,FT,F,ISCO3,UK	: 	38050.2 	36822.5 	: 	35708.6 	34075.6 	36505.9 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO4,AT	32732.0 	30400.2 	29446.0 	28162.0 	27817.0 	29929.0 	29017.0 	27734.0 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO4,CY	17784.0 	16806.9 	15818.6 	15706.6 	14911.2 	14114.6 	13182.7 	12127.4 	11562.3 	11215.3 	10729.8 	10013.6 	: 	: 
EUR,FT,F,ISCO4,DE	35700.0 	34700.0 	33816.0 	33500.0 	32900.0 	32200.0 	31500.0 	30600.0 	29900.0 	29300.0 	28406.8 	27878.1 	28064.2 	: 
EUR,FT,F,ISCO4,DK	42800.6 	40917.5 	38611.1 	37993.3 	37549.3 	36681.6 	34765.3 	33634.0 	32601.4 	31681.5 	29798.9 	29150.1 	29002.2 	: 
EUR,FT,F,ISCO4,EL	: 	: 	: 	: 	: 	16145.5 	15729.7 	14878.4 	14140.1 	13368.9 	12659.9 	12088.1 	11563.1 	10993.0 
EUR,FT,F,ISCO4,ES	: 	17521.8 	16903.4 	16405.9 	16114.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO4,FI	29527.0 	28002.0 	29590.0 	25928.0 	25161.0 	24206.0 	23354.0 	22470.4 	21432.2 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO4,IE	: 	30099.0 	: 	29725.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO4,IS	26788.6 	40419.9 	38252.1 	40406.5 	31213.2 	30329.4 	29397.1 	24835.7 	26552.6 	23770.4 	: 	: 	: 	: 
EUR,FT,F,ISCO4,MT	: 	: 	: 	: 	: 	12139.4 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO4,PL	: 	: 	: 	: 	5363.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
