EUR,B-S_X_O,D11,NL	17.9 	20.8 	22.9 	24.7 	25.3 p	25.5 p
EUR,B-S_X_O,D11,NO	24.6 p	24.5 	30.6 	46.2 	46.2 p	44.2 p
EUR,B-S_X_O,D11,PL	3.4 e	3.8 	6.3 	6.4 	6.6 	6.8 
EUR,B-S_X_O,D11,PT	9.1 p	9.0 	9.9 	10.7 	10.5 p	10.4 p
EUR,B-S_X_O,D11,RO	1.0 	1.4 	3.2 	3.2 	3.4 	3.6 p
EUR,B-S_X_O,D11,SE	: 	19.4 	21.2 	25.4 	26.2 	25.6 p
EUR,B-S_X_O,D11,SI	8.9 	9.0 	11.6 	13.1 	12.9 p	13.1 p
EUR,B-S_X_O,D11,SK	2.0 	3.0 	5.4 	6.6 	6.8 p	7.1 p
EUR,B-S_X_O,D11,UK	16.6 e	17.7 	17.7 	18.1 	17.5 	18.6 
EUR,B-S_X_O,D12-D4_MD5,AT	: 	6.7 	6.8 	7.8 	8.0 	8.3 p
EUR,B-S_X_O,D12-D4_MD5,BE	7.4 	8.6 	9.0 	10.6 	10.8 	10.9 p
EUR,B-S_X_O,D12-D4_MD5,BG	0.4 	0.4 	0.5 	0.5 	0.6 p	0.6 p
EUR,B-S_X_O,D12-D4_MD5,CY	1.5 	1.9 	2.6 	2.8 	2.7 	2.7 p
EUR,B-S_X_O,D12-D4_MD5,CZ	1.0 	1.6 	2.5 	2.7 	2.6 	2.5 
EUR,B-S_X_O,D12-D4_MD5,DE	5.9 	6.5 	6.1 	6.8 	6.9 	7.0 
EUR,B-S_X_O,D12-D4_MD5,DK	2.6 	3.0 	4.2 	5.1 	5.3 	5.3 
EUR,B-S_X_O,D12-D4_MD5,EA17	: 	6.4 	6.7 	: 	: 	: 
EUR,B-S_X_O,D12-D4_MD5,EA18	: 	6.3 	6.6 	7.5 	7.6 	7.6 
EUR,B-S_X_O,D12-D4_MD5,EE	0.8 	1.2 	2.1 	2.3 	2.4 	2.6 
EUR,B-S_X_O,D12-D4_MD5,EL	2.7 	3.9 	3.3 	3.5 	3.2 	: c
EUR,B-S_X_O,D12-D4_MD5,ES	3.6 	4.3 	5.1 	5.5 	5.5 	5.5 p
EUR,B-S_X_O,D12-D4_MD5,EU27	: 	: 	5.1 	: 	: 	: 
EUR,B-S_X_O,D12-D4_MD5,EU28	4.1 	4.9 	5.1 	5.8 	5.9 	6.0 
EUR,B-S_X_O,D12-D4_MD5,FI	4.9 	5.3 	6.2 	6.9 	7.0 p	7.2 p
EUR,B-S_X_O,D12-D4_MD5,FR	: 	9.4 	10.3 	11.9 	11.5 	11.4 p
EUR,B-S_X_O,D12-D4_MD5,HR	: 	1.1 	1.4 	1.4 	1.4 	1.4 
EUR,B-S_X_O,D12-D4_MD5,HU	1.2 	1.8 	2.3 	1.8 	1.7 p	1.7 p
EUR,B-S_X_O,D12-D4_MD5,IE	2.8 	3.3 	4.1 	4.1 	4.1 	4.0 p
EUR,B-S_X_O,D12-D4_MD5,IT	5.5 	6.8 	7.0 	7.7 	7.9 	8.0 
EUR,B-S_X_O,D12-D4_MD5,LT	0.7 	0.9 	1.6 	1.6 	1.8 	1.8 
EUR,B-S_X_O,D12-D4_MD5,LU	3.4 	4.8 	4.3 	4.7 	4.8 	4.9 
EUR,B-S_X_O,D12-D4_MD5,LV	0.5 p	0.6 	1.2 	1.2 	1.3 p	1.3 
EUR,B-S_X_O,D12-D4_MD5,MT	0.6 p	0.6 	0.9 	0.8 	0.8 p	0.9 p
EUR,B-S_X_O,D12-D4_MD5,NL	5.1 	6.5 	6.9 	7.7 	8.2 p	8.5 p
EUR,B-S_X_O,D12-D4_MD5,NO	5.1 p	5.6 	7.2 	10.2 	10.1 p	9.8 p
EUR,B-S_X_O,D12-D4_MD5,PL	0.8 e	0.9 	1.4 	1.4 	1.5 	1.6 
EUR,B-S_X_O,D12-D4_MD5,PT	2.0 p	2.3 	2.3 	2.6 	2.7 p	2.7 p
EUR,B-S_X_O,D12-D4_MD5,RO	0.5 	0.5 	1.0 	0.9 	1.0 	1.1 p
EUR,B-S_X_O,D12-D4_MD5,SE	: 	9.7 	10.4 	11.8 	12.1 	11.8 p
EUR,B-S_X_O,D12-D4_MD5,SI	2.0 	2.2 	2.3 	2.5 	2.4 p	2.4 p
EUR,B-S_X_O,D12-D4_MD5,SK	0.8 	1.1 	1.9 	2.3 	2.5 p	2.6 p
EUR,B-S_X_O,D12-D4_MD5,UK	3.0 e	3.8 	3.2 	3.5 	3.4 	3.7 
