currency,sizeclas,worktime,sex,nace_r2,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 
EUR,TOTAL,TOT_FTE,M,B-F,CZ	12758 	12084 	11174 	11554 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-F,ES	26916 	26041 	25277 	24216 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-F,HR	: 	11522 	11489 	11549 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-F,IE	: 	: 	45741 	44751 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-F,LT	7536 	7282 	7499 	8468 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-F,LV	8163 	7844 	7891 	8059 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-F,NL	45415 	44155 	43618 	42668 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-F,NO	: 	: 	51391 	52214 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-F,RO	5897 	5503 	5048 	5595 	5001 	3965 	3367 
EUR,TOTAL,TOT_FTE,M,B-F,SE	43078 	39538 	34281 	37005 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-F,SK	11488 	10981 	10457 	9889 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,BG	4667 	4386 	4092 	3619 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,CH	: 	57692 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,CY	30026 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,CZ	13217 	12730 	11873 	11845 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,ES	26627 	26289 	25780 	24739 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,HR	: 	12658 	12550 	12586 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,IE	: 	: 	45726 	46276 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,LT	7527 	7336 	7479 	8225 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,LV	8733 	8495 	8644 	8626 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,NL	46168 	44941 	44585 	43503 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,NO	: 	: 	52164 	53678 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,RO	6022 	5732 	5229 	5732 	5138 	4043 	3420 
EUR,TOTAL,TOT_FTE,M,B-N,SE	44023 	40552 	35425 	38396 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-N,SK	12016 	11569 	11264 	10538 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,BG	4722 	4464 	4181 	3703 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,CH	: 	59387 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,CY	31161 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,CZ	13299 	12862 	12025 	12306 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,ES	27264 	27237 	26284 	25241 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,HR	: 	13311 	13198 	13170 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,IE	: 	: 	47178 	47484 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,LT	7710 	7542 	7731 	8364 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,LV	8687 	8410 	8624 	8924 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,NL	46647 	45588 	45163 	43997 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,NO	: 	: 	51951 	53470 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,RO	5982 	5753 	5414 	5970 	5346 	4217 	3493 
EUR,TOTAL,TOT_FTE,M,B-S,SE	43609 	40265 	35188 	38106 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S,SK	11900 	11625 	11291 	10412 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,BG	4679 	4415 	4130 	3644 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,CH	: 	58561 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,CY	30759 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,CZ	13259 	12778 	11916 	12197 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,ES	26992 	26720 	25998 	24946 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,HR	: 	12987 	12880 	12893 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,IE	: 	: 	46537 	47023 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,LT	7535 	7344 	7504 	8145 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,LV	8649 	8381 	8498 	8684 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,NL	46479 	45319 	44912 	43733 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,NO	: 	: 	51951 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,RO	5938 	5691 	5307 	5820 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,SE	43541 	40177 	35099 	38035 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,B-S_X_O,SK	11841 	11416 	11111 	10370 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,BG	4218 	3966 	3687 	3464 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,CH	: 	58240 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,CY	34269 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,CZ	12891 	12211 	11203 	11677 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,ES	28187 	28119 	26529 	26158 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,HR	: 	11627 	11587 	11707 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,IE	: 	: c	: c	: c	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,LT	7923 	7656 	7804 	8201 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,LV	7918 	7547 	7561 	7762 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,NL	45162 	43800 	43121 	42619 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,NO	: 	: 	49861 	50568 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,RO	5712 	5302 	4814 	5093 	4699 	3706 	3138 
EUR,TOTAL,TOT_FTE,M,C,SE	43863 	40400 	35017 	37662 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,C,SK	11726 	11119 	10463 	10110 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,BG	9484 	8900 	8425 	7038 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,CH	: 	70585 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,CY	34838 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,CZ	20367 	19929 	18675 	17788 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,ES	52376 	50967 	52532 	50457 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,HR	: 	16102 	16277 	15397 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,IE	: 	: c	: c	: c	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,LT	10922 	10716 	10809 	10666 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,LV	11696 	11216 	10640 	11507 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,NL	63107 	60567 	60643 	57805 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,NO	: 	: 	59491 	60407 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,RO	11070 	10663 	10167 	10825 	8836 	7117 	6002 
EUR,TOTAL,TOT_FTE,M,D,SE	52397 	48144 	43482 	44699 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,D,SK	17226 	16429 	15712 	13825 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,BG	4245 	4146 	3928 	3644 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,CH	: 	54188 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,CY	21918 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,CZ	11415 	11083 	10175 	10481 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,ES	28209 	28011 	25703 	24792 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,HR	: 	11878 	11891 	11964 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,IE	: 	: c	: c	: c	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,LT	6937 	6935 	6909 	7316 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,LV	8530 	8061 	8207 	8585 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,NL	45952 	45168 	44044 	43064 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,NO	: 	: 	45212 	46128 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,RO	5137 	4818 	4709 	5041 	4393 	3492 	2850 
EUR,TOTAL,TOT_FTE,M,E,SE	40701 	38144 	32255 	34756 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,E,SK	9814 	9732 	9264 	8187 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,BG	3702 	3600 	3467 	2817 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,CH	: 	52649 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,CY	28258 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,CZ	11255 	10709 	10174 	10224 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,ES	23386 	22975 	22580 	21179 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,HR	: 	9906 	10021 	10211 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,IE	: 	: 	43555 	44848 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,LT	6425 	6015 	6445 	8533 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,LV	7414 	7120 	7540 	7771 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,NL	43722 	43040 	43009 	41271 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,NO	: 	: 	46830 	48304 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,RO	4674 	4256 	3934 	4986 	4195 	3169 	2681 
EUR,TOTAL,TOT_FTE,M,F,SE	40362 	36600 	31732 	34564 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,F,SK	9626 	9588 	9304 	8714 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,BG	4130 	3856 	3630 	3175 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,CH	: 	54370 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,CY	24256 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,CZ	12964 	12750 	11849 	12498 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,ES	24174 	23672 	23700 	22417 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,HR	: 	12360 	12187 	12016 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,IE	: 	: 	36493 	37959 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,LT	6955 	6840 	6956 	7711 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,LV	7806 	7478 	7897 	7920 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,NL	41812 	40807 	40167 	39131 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,NO	: 	: 	47445 	49579 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,RO	5246 	5205 	4438 	4950 	4415 	3403 	2843 
EUR,TOTAL,TOT_FTE,M,G,SE	41844 	39100 	34467 	36448 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G,SK	11615 	11583 	11396 	10425 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,BG	4807 	4451 	4189 	3738 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,CH	: 	54719 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,CY	26755 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,CZ	13375 	13115 	12289 	12748 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,ES	24926 	24597 	24136 	23077 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,HR	: 	13366 	13119 	13071 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,IE	: 	: 	39518 	41933 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,LT	7180 	6993 	7012 	7508 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,LV	8762 	8555 	8781 	8618 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,NL	43218 	42244 	41758 	40702 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,NO	: 	: 	50063 	51763 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,RO	6044 	5909 	5284 	5722 	5170 	4091 	3417 
EUR,TOTAL,TOT_FTE,M,G-J,SE	42633 	39156 	34504 	37229 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-J,SK	12109 	11795 	11620 	10753 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,BG	4812 	4516 	4246 	3792 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,CH	: 	60135 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,CY	29769 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,CZ	13836 	13615 	12851 	13140 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,ES	26417 	26490 	26198 	25206 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,HR	: 	13921 	13767 	13831 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,IE	: 	: 	45717 	47652 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,LT	7519 	7381 	7463 	7987 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,LV	9163 	8972 	9209 	9152 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,NL	46549 	45349 	45093 	43943 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,NO	: 	: 	52793 	54874 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,RO	6161 	5992 	5440 	5911 	5325 	4159 	3503 
EUR,TOTAL,TOT_FTE,M,G-N,SE	44857 	41452 	36463 	39775 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-N,SK	12605 	12226 	12197 	11285 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,BG	4812 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,CH	: 	61578 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,CY	30936 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,CZ	13811 	13561 	12766 	12974 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,ES	27038 	27176 	26503 	25500 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,HR	: 	14277 	14160 	14191 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,IE	: 	: 	46956 	48627 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,LT	7534 	7384 	7507 	7891 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,LV	8959 	8688 	8892 	9165 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,NL	46915 	45807 	45464 	44191 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,NO	: 	: 	52274 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,RO	5974 	5859 	5551 	6061 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,SE	43843 	40597 	35648 	38796 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,G-S_X_O,SK	12162 	11810 	11724 	10821 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,BG	4560 	4351 	4075 	3864 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,CH	: 	55458 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,CY	40037 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,CZ	11618 	11386 	10846 	11208 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,ES	25394 	25567 	24473 	23886 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,HR	: 	13509 	13396 	13586 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,IE	: 	: 	42599 	44473 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,LT	6623 	6453 	6393 	6770 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,LV	8839 	8857 	8913 	8827 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,NL	44098 	43001 	42458 	41303 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,NO	: 	: 	49410 	50638 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,RO	6184 	6110 	5898 	6410 	5620 	4445 	3685 
EUR,TOTAL,TOT_FTE,M,H,SE	37299 	33697 	29400 	32657 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,H,SK	9770 	9626 	9534 	9448 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,BG	2872 	2572 	2517 	2269 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,CH	: 	39557 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,CY	19584 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,CZ	6951 	6921 	6237 	6661 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,ES	19409 	19611 	18258 	17727 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,HR	: 	11663 	11442 	11250 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,IE	: 	: 	27227 	30263 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,LT	4507 	4490 	4756 	5149 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,LV	6107 	5714 	5733 	5981 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,NL	26166 	25887 	25781 	24893 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,NO	: 	: 	37317 	38078 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,RO	3420 	3195 	3237 	3464 	3393 	2610 	2154 
EUR,TOTAL,TOT_FTE,M,I,SE	27844 	25517 	21158 	23485 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,I,SK	6863 	6476 	6772 	6434 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,BG	10703 	9752 	9286 	7980 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,CH	: 	78244 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,CY	36284 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,CZ	24380 	23523 	22163 	22713 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,ES	35814 	35320 	35222 	33827 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,HR	: 	18383 	18046 	18428 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,IE	: 	: 	52892 	60162 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,LT	12746 	11780 	11662 	11214 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,LV	14755 	14475 	14903 	14593 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,NL	57212 	55888 	54942 	53786 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,NO	: 	: 	64764 	66878 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,RO	11866 	10919 	9571 	9623 	9714 	8284 	7013 
EUR,TOTAL,TOT_FTE,M,J,SE	56552 	51582 	46374 	49860 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,J,SK	22181 	21019 	20493 	18529 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,BG	11035 	10642 	9907 	9333 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,CH	: 	92858 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,CY	51102 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,CZ	31719 	30959 	30767 	31574 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,ES	48027 	50126 	49446 	48795 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,HR	: 	24429 	23644 	23498 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,IE	: 	: c	: c	: c	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,LT	18894 	18535 	19873 	20659 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,LV	22003 	21370 	23361 	25684 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,NL	73563 	71414 	69684 	70448 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,NO	: 	: 	75738 	85293 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,RO	16197 	15188 	14368 	16723 	14359 	12144 	10373 
EUR,TOTAL,TOT_FTE,M,K,SE	73949 	66928 	58825 	68003 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K,SK	26822 	25457 	24512 	24146 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,BG	4826 	4696 	4403 	3942 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,CH	: 	73767 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,CY	41429 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,CZ	14996 	14863 	14267 	14125 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,ES	29869 	30889 	30780 	30042 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,HR	: 	15534 	15651 	16185 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,IE	: 	: 	59470 	60740 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,LT	8626 	8622 	8956 	9672 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,LV	10190 	10080 	10293 	10584 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,NL	50943 	49489 	49474 	48148 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,NO	: 	: 	58323 	61484 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,RO	6472 	6219 	5882 	6462 	5811 	4370 	3798 
EUR,TOTAL,TOT_FTE,M,K-N,SE	49276 	46089 	40311 	45151 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,K-N,SK	13864 	13309 	13854 	12934 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,BG	4521 	4442 	4389 	4037 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,CH	: 	66403 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,CY	27193 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,CZ	12075 	11318 	10180 	10547 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,ES	25458 	26797 	25742 	25128 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,HR	: 	13466 	13440 	13475 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,IE	: 	: 	: c	: c	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,LT	6917 	6791 	7187 	7788 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,LV	7231 	6843 	6721 	6974 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,NL	51959 	51467 	51511 	51199 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,NO	: 	: 	58621 	60918 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,RO	5266 	4681 	4547 	5702 	6188 	3373 	2963 
EUR,TOTAL,TOT_FTE,M,L,SE	42883 	41219 	35071 	38159 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,L,SK	13116 	11970 	11600 	9738 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,BG	6709 	6402 	6313 	5611 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,CH	: 	73627 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,CY	40228 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,CZ	17067 	17327 	16305 	16317 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,ES	31926 	32248 	32774 	31522 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,HR	: 	16131 	16425 	17571 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,IE	: 	: 	55344 	57098 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,LT	9576 	9526 	9839 	10733 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,LV	10679 	10832 	10496 	10306 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,NL	63557 	61115 	60050 	59371 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,NO	: 	: 	66894 	69365 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,RO	8294 	7696 	7395 	7794 	6527 	4663 	3921 
EUR,TOTAL,TOT_FTE,M,M,SE	55037 	50408 	44048 	47157 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,M,SK	15204 	15399 	16137 	15005 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,BG	2702 	2549 	2357 	2014 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,CH	: 	48518 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,CY	24218 	: 	: 	: 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,CZ	8370 	7883 	7647 	7945 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,ES	21287 	21245 	20320 	19839 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,HR	: 	8791 	8879 	9313 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,IE	: 	: 	40547 	37111 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,LT	6123 	6116 	6135 	6971 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,LV	7451 	7274 	7441 	7653 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,NL	31964 	31008 	31345 	30464 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,NO	: 	: 	42997 	44610 	: 	: 	: 
EUR,TOTAL,TOT_FTE,M,N,RO	3456 	3358 	3081 	3340 	2961 	2239 	1896 
