currency,sizeclas,worktime,sex,nace_r2,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 
EUR,GE10,FT,F,B-N,SK	9544 	9123 	8740 	8267 	: 	: 	: 
EUR,GE10,FT,F,B-N,UK	30811 	30895 	29568 	32368 	: 	: 	: 
EUR,GE10,FT,F,B-S,BG	4152 	3940 	3690 	3298 	: 	: 	: 
EUR,GE10,FT,F,B-S,CH	: 	49589 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,B-S,DE	35700 p	34794 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,B-S,DK	49954 	49634 	47591 	45798 	: 	: 	: 
EUR,GE10,FT,F,B-S,ES	25082 	25513 	24441 	23394 	: 	: 	: 
EUR,GE10,FT,F,B-S,FI	35562 	34472 	34491 	32459 	: 	: 	: 
EUR,GE10,FT,F,B-S,FR	: 	30406 	29844 	: 	: 	: 	: 
EUR,GE10,FT,F,B-S,HU	9010 	8720 	8588 	9611 	: 	: 	: 
EUR,GE10,FT,F,B-S,IE	: 	19537 	41362 	40647 	: 	: 	: 
EUR,GE10,FT,F,B-S,LV	7666 	7240 	7734 	8099 	: 	: 	: 
EUR,GE10,FT,F,B-S,NL	38285 	37348 	36182 	34747 	: 	: 	: 
EUR,GE10,FT,F,B-S,RO	5523 d	5409 e	5403 e	: 	: 	: 	: 
EUR,GE10,FT,F,B-S,SE	36097 	33617 	29322 	31237 	: 	: 	: 
EUR,GE10,FT,F,B-S,SK	9292 	9028 	8651 	8114 	: 	: 	: 
EUR,GE10,FT,F,B-S,UK	31032 	31213 	29450 	32113 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,BG	4056 	3842 	3595 	3196 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,CH	: 	48972 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,DE	35700 p	34740 	34000 	33500 	32700 	32067 p	: 
EUR,GE10,FT,F,B-S_X_O,DK	49584 	49254 	47241 	45405 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,EL	: 	: 	24216 	22971 	22535 	20737 	: 
EUR,GE10,FT,F,B-S_X_O,ES	24738 	25101 	24034 	23027 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,FI	36435 	39511 	34389 	: 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,FR	: 	30406 	29844 	: 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,HU	8652 	8341 	8250 	9088 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,IE	: 	19177 	40823 	40289 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,LV	7432 	7059 	7529 	7726 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,MT	17426 	16864 	16210 	: 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,NL	37632 	36696 	35581 	34165 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,PT	16614 	15299 	15334 	: 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,RO	5383 d	5221 e	5177 e	: 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,SE	35733 	33305 	29064 	31000 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,SK	9237 	8929 	8555 	8029 	: 	: 	: 
EUR,GE10,FT,F,B-S_X_O,UK	30867 	31115 	29414 	32161 	: 	: 	: 
EUR,GE10,FT,F,C,BG	3033 	2891 	2681 	2451 	: 	: 	: 
EUR,GE10,FT,F,C,CH	: 	45355 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,C,DE	35500 p	34157 	32400 	32700 	31700 	30886 p	: 
EUR,GE10,FT,F,C,DK	52716 	51283 	47708 	44919 	: 	: 	: 
EUR,GE10,FT,F,C,EL	: 	: 	21240 	20009 	19619 	17993 	: 
EUR,GE10,FT,F,C,ES	23444 	23661 	22457 	21573 	: 	: 	: 
EUR,GE10,FT,F,C,FI	42753 	36805 	35723 	34587 	: 	: 	: 
EUR,GE10,FT,F,C,FR	: 	31359 	30512 	: 	: 	: 	: 
EUR,GE10,FT,F,C,HU	8091 	7764 	7260 	7716 	: 	: 	: 
EUR,GE10,FT,F,C,IE	: 	: c	: c	: c	: 	: 	: 
EUR,GE10,FT,F,C,IS	: 	27933 	24086 	27310 	: 	: 	: 
EUR,GE10,FT,F,C,LV	6677 	6351 	6321 	6345 	: 	: 	: 
EUR,GE10,FT,F,C,MT	16153 	16168 	13544 	: 	: 	: 	: 
EUR,GE10,FT,F,C,NL	35729 	34672 	33747 	32729 	: 	: 	: 
EUR,GE10,FT,F,C,PT	10647 	10317 	10149 	: 	: 	: 	: 
EUR,GE10,FT,F,C,RO	4497 d	4222 e	3825 e	: 	: 	: 	: 
EUR,GE10,FT,F,C,SE	39515 	36597 	31560 	32805 	: 	: 	: 
EUR,GE10,FT,F,C,SK	8240 	7826 	7323 	6914 	: 	: 	: 
EUR,GE10,FT,F,C,UK	27324 	26857 	26460 	28109 	: 	: 	: 
EUR,GE10,FT,F,D,BG	7540 	7335 	6772 	5606 	: 	: 	: 
EUR,GE10,FT,F,D,CH	: 	60491 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,D,DE	48300 p	47241 	45400 	43400 	41200 	39897 p	: 
EUR,GE10,FT,F,D,DK	56272 	51722 	52138 	51183 	: 	: 	: 
EUR,GE10,FT,F,D,EL	: 	: 	41853 	34410 	38869 	31917 	: 
EUR,GE10,FT,F,D,ES	48377 	45042 	44250 	44523 	: 	: 	: 
EUR,GE10,FT,F,D,FI	42760 	39301 	38524 	36371 	: 	: 	: 
EUR,GE10,FT,F,D,FR	: 	44422 	42897 	: 	: 	: 	: 
EUR,GE10,FT,F,D,HU	15079 	14352 	13924 	14583 	: 	: 	: 
EUR,GE10,FT,F,D,IE	: 	: c	: c	: c	: 	: 	: 
EUR,GE10,FT,F,D,LV	10637 	10669 	10405 	10303 	: 	: 	: 
EUR,GE10,FT,F,D,MT	18743 	18401 	19576 u	: 	: 	: 	: 
EUR,GE10,FT,F,D,NL	48060 	45408 	43570 	41785 	: 	: 	: 
EUR,GE10,FT,F,D,PT	33120 	32344 	30683 	: 	: 	: 	: 
EUR,GE10,FT,F,D,RO	10553 d	10053 e	9400 e	: 	: 	: 	: 
EUR,GE10,FT,F,D,SE	43981 	40048 	35827 	35934 	: 	: 	: 
EUR,GE10,FT,F,D,SK	14853 	14111 	13157 	12030 	: 	: 	: 
EUR,GE10,FT,F,D,UK	32729 	31597 	31365 	35244 	: 	: 	: 
EUR,GE10,FT,F,E,BG	3703 	3416 	3318 	2983 	: 	: 	: 
EUR,GE10,FT,F,E,CH	: 	47372 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,E,DE	36500 p	35378 	34900 	34000 	32800 	31918 p	: 
EUR,GE10,FT,F,E,DK	49209 	49078 	45670 	44653 	: 	: 	: 
EUR,GE10,FT,F,E,EL	: 	: 	28500 	25145 	27316 	24146 	: 
EUR,GE10,FT,F,E,ES	24932 	24649 	22428 	21306 	: 	: 	: 
EUR,GE10,FT,F,E,FI	36194 	32732 	32044 	31139 	: 	: 	: 
EUR,GE10,FT,F,E,FR	: 	30621 	30450 	: 	: 	: 	: 
EUR,GE10,FT,F,E,HU	10057 	9255 	8481 	8967 	: 	: 	: 
EUR,GE10,FT,F,E,IE	: 	: c	: c	: c	: 	: 	: 
EUR,GE10,FT,F,E,LV	8085 	7232 	6710 	7021 	: 	: 	: 
EUR,GE10,FT,F,E,MT	14179 	13434 	18468 u	: 	: 	: 	: 
EUR,GE10,FT,F,E,NL	42299 	41296 	39991 	38710 	: 	: 	: 
EUR,GE10,FT,F,E,PT	16394 	16092 	14828 	: 	: 	: 	: 
EUR,GE10,FT,F,E,RO	5244 d	4975 e	4649 e	: 	: 	: 	: 
EUR,GE10,FT,F,E,SE	37841 	35597 	29968 	31547 	: 	: 	: 
EUR,GE10,FT,F,E,SK	9896 	9648 	9212 	8501 	: 	: 	: 
EUR,GE10,FT,F,E,UK	33029 	33268 	34121 	34602 	: 	: 	: 
EUR,GE10,FT,F,F,BG	4260 	3943 	3699 	3066 	: 	: 	: 
EUR,GE10,FT,F,F,CH	: 	48598 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,F,DE	32300 p	31191 	30400 	29700 	29000 	28375 p	: 
EUR,GE10,FT,F,F,DK	49097 	47781 	46739 	46295 	: 	: 	: 
EUR,GE10,FT,F,F,EL	: 	: 	21409 	20543 	19643 	17909 	: 
EUR,GE10,FT,F,F,ES	25226 	25051 	24112 	23109 	: 	: 	: 
EUR,GE10,FT,F,F,FI	40057 	36120 	36112 	33444 	: 	: 	: 
EUR,GE10,FT,F,F,FR	: 	33285 	32640 	: 	: 	: 	: 
EUR,GE10,FT,F,F,HU	8880 	8756 	8908 	9105 	: 	: 	: 
EUR,GE10,FT,F,F,IE	: 	36289 	39610 	56681 	: 	: 	: 
EUR,GE10,FT,F,F,IS	: 	40120 u	26027 u	37391 u	: 	: 	: 
EUR,GE10,FT,F,F,LV	8394 	7681 	8478 	8034 	: 	: 	: 
EUR,GE10,FT,F,F,MT	19915 	18048 	15212 u	: 	: 	: 	: 
EUR,GE10,FT,F,F,NL	38024 	37415 	36725 	35031 	: 	: 	: 
EUR,GE10,FT,F,F,PT	17975 	16348 	15923 	: 	: 	: 	: 
EUR,GE10,FT,F,F,RO	5889 d	5347 e	5340 e	: 	: 	: 	: 
EUR,GE10,FT,F,F,SE	39603 	36361 	30886 	34675 	: 	: 	: 
EUR,GE10,FT,F,F,SK	9552 	9330 	8652 	7941 	: 	: 	: 
EUR,GE10,FT,F,F,UK	29700 	30942 	28696 	32947 	: 	: 	: 
EUR,GE10,FT,F,G,BG	3892 	3581 	3308 	2939 	: 	: 	: 
EUR,GE10,FT,F,G,CH	: 	42382 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,G,DE	31400 p	30774 	30400 	30400 	30300 	30161 p	: 
EUR,GE10,FT,F,G,DK	47017 	45240 	43498 	42698 	: 	: 	: 
EUR,GE10,FT,F,G,EL	: 	: 	21189 	18715 	18260 	17040 	: 
EUR,GE10,FT,F,G,ES	19963 	20143 	19689 	18585 	: 	: 	: 
EUR,GE10,FT,F,G,FI	33431 	32639 	31608 	30528 	: 	: 	: 
EUR,GE10,FT,F,G,FR	: 	27830 	26974 	: 	: 	: 	: 
EUR,GE10,FT,F,G,HU	8492 	7938 	7290 	8092 	: 	: 	: 
EUR,GE10,FT,F,G,IE	: 	29886 	30706 	31903 	: 	: 	: 
EUR,GE10,FT,F,G,IS	: 	25604 	23791 	26907 	: 	: 	: 
EUR,GE10,FT,F,G,LV	6439 	6026 	6160 	6460 	: 	: 	: 
EUR,GE10,FT,F,G,MT	14106 	13382 	15623 	: 	: 	: 	: 
EUR,GE10,FT,F,G,NL	32994 	32246 	30813 	29096 	: 	: 	: 
EUR,GE10,FT,F,G,PT	13710 	13481 	13611 	: 	: 	: 	: 
EUR,GE10,FT,F,G,RO	5047 d	4667 e	4347 e	: 	: 	: 	: 
EUR,GE10,FT,F,G,SE	34741 	33445 	29271 	30294 	: 	: 	: 
EUR,GE10,FT,F,G,SK	8905 	8626 	8464 	7980 	: 	: 	: 
EUR,GE10,FT,F,G,UK	24601 	24622 	23352 	25884 	: 	: 	: 
EUR,GE10,FT,F,G-J,BG	4267 	3899 	3618 	3261 	: 	: 	: 
EUR,GE10,FT,F,G-J,CH	: 	42669 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,G-J,DE	32300 p	31591 	31200 	31000 	30600 	30248 p	: 
EUR,GE10,FT,F,G-J,DK	49650 	47777 	46360 	45440 	: 	: 	: 
EUR,GE10,FT,F,G-J,EL	: 	: 	27019 	23005 	22739 	21513 	: 
EUR,GE10,FT,F,G-J,ES	21674 	21635 	20647 	19822 	: 	: 	: 
EUR,GE10,FT,F,G-J,FI	35214 	33559 	33590 	31558 	: 	: 	: 
EUR,GE10,FT,F,G-J,FR	: 	29631 	28851 	: 	: 	: 	: 
EUR,GE10,FT,F,G-J,HU	8981 	8495 	8018 	8697 	: 	: 	: 
EUR,GE10,FT,F,G-J,IE	: 	15790 	31768 	33063 	: 	: 	: 
EUR,GE10,FT,F,G-J,LV	7248 	6820 	6939 	7004 	: 	: 	: 
EUR,GE10,FT,F,G-J,MT	16107 	15558 	16253 	: 	: 	: 	: 
EUR,GE10,FT,F,G-J,NL	34530 	33890 	32636 	31063 	: 	: 	: 
EUR,GE10,FT,F,G-J,PT	15103 	14635 	14522 	: 	: 	: 	: 
